Company,Year,Revenue,Operating_Income,Net_Income,Operating_Margin_%,Net_Margin_%
Omnicom,2020,13171.1,1762.0,945.4,13.38,7.18
Omnicom,2021,14289.1,2121.7,1407.8,14.85,9.85
Omnicom,2022,14289.4,2023.2,1316.2,14.16,9.21
Omnicom,2023,14692.2,2104.7,1391.4,14.33,9.47
Omnicom,2024,15685.8,2274.6,1471.9,14.5,9.38
IPG,2020,8064.5,1086.9,351.1,13.48,4.35
IPG,2021,9061.1,1481.6,952.8,16.35,10.52
IPG,2022,9518.0,1543.7,938.0,16.22,9.86
IPG,2023,10890.0,1323.0,1098.0,12.15,10.08
IPG,2024,9021.0,767.8,689.5,8.51,7.64
